EPGChannelID,ChannelName,GuideChannelNum,StreamURL,NumCaptionTracks,Error
14578,MC - Country Hits,1932,https://str2atl270.mdu1.tv/MC_CNTH_1932/index.m3u8,0,
14577,MC - Hip-Hop and R&B,1906,https://str2atl270.mdu1.tv/MC_HHL_1906/index.m3u8,0,
14576,MC - Today's Country,1931,https://str2atl270.mdu1.tv/MC_CNT_1931/index.m3u8,0,
14575,MC - Toddler Tunes,1924,https://str2atl270.mdu1.tv/MC_TOD_1924/index.m3u8,0,
14574,MC - Kidz Only!,1923,https://str2atl270.mdu1.tv/MC_KIDZ_1923/index.m3u8,0,
14573,MC - Stage & Screen,1941,https://str2atl270.mdu1.tv/MC_STGE_1941/index.m3u8,0,
14572,MC - Party Favorites,1921,https://str2atl270.mdu1.tv/MC_PTY_1921/index.m3u8,0,
14571,MC - Solid Gold Oldies,1929,https://str2atl270.mdu1.tv/MC_OLD_1929/index.m3u8,0,
14570,MC - 70's,1928,https://str2atl270.mdu1.tv/MC_70S_1928/index.m3u8,0,
14569,MC - 80's,1927,https://str2atl270.mdu1.tv/MC_80S_1927/index.m3u8,0,
14568,MC - 90's,1926,https://str2atl270.mdu1.tv/MC_90S_1926/index.m3u8,0,
14567,MC - Pop Hits,1920,https://str2atl270.mdu1.tv/MC_PMPH_1920/index.m3u8,0,
14566,MC - Hit List,1900,https://str2atl270.mdu1.tv/MC_HITS_1900/index.m3u8,0,
14565,MC - Soft Rock,1918,https://str2atl270.mdu1.tv/MC_SFRK_1918/index.m3u8,0,
14564,MC - Adult Alternative,1915,https://str2atl270.mdu1.tv/MC_AATL_1915/index.m3u8,0,
14563,MC - Alternative,1914,https://str2atl270.mdu1.tv/MC_ALT_1914/index.m3u8,0,
14562,MC - Metal,1913,https://str2atl270.mdu1.tv/MC_MTL_1913/index.m3u8,0,
14561,MC - Rock,1912,https://str2atl270.mdu1.tv/MC_ROCK_1912/index.m3u8,0,
14560,MC - Rock Hits,1916,https://str2atl270.mdu1.tv/MC_RKHT_1916/index.m3u8,0,
14559,MC - Classic Rock,1917,https://str2atl270.mdu1.tv/MC_CLRK_1917/index.m3u8,0,
14558,MC - Reggae,1911,https://str2atl270.mdu1.tv/MC_RGG_1911/index.m3u8,0,
14557,MC - Gospel,1910,https://str2atl270.mdu1.tv/MC_GOSPEL_1910/index.m3u8,0,
14464,GAME+,1608,https://str2atl270.mdu1.tv/FNTSY-1608/index.m3u8,3,
14156,NHL Network USA,1699,https://str2atl270.mdu1.tv/NHL-1699/index.m3u8,3,
13711,SEC Network,1606,https://str2atl270.mdu1.tv/SEC-1606/index.m3u8,3,
